a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,
256,0,10,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS,250,,,,,,,extclip  dw ,1,,combathandling,,,,,,,,,
257,1,25,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS,500,,,,,,,extclip  dw ,1,,combathandling,,,,,,,,,
258,2,75,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS,750,,,,,,,extclip  dw ,1,,combathandling,,,,,,,,,
259,3,100,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS,1500,,,,,,,extclip  dw ,1,,combathandling,,,,,,,,,
260,4,300,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS,3000,,,,mastery_handling,,EM_BACK_HANDLING_,extclip  dw ,1,,combathandling,,,,,1,,,,
261,0,10,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS_ADS,250,,,,,,,swayreduc grip quickdraw stalker,1,,combathandling,,,,,,,,,
262,1,25,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS_ADS,500,,,,,,,swayreduc grip quickdraw stalker,1,,combathandling,,,,,,,,,
263,2,75,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS_ADS,750,,,,,,,swayreduc grip quickdraw stalker,1,,combathandling,,,,,,,,,
264,3,100,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS_ADS,1500,,,,,,,swayreduc grip quickdraw stalker,1,,combathandling,,,,,,,,,
265,4,300,attachment,kills,CHALLENGE_HANDLING_ATTACHMENT_KILLS_ADS,3000,,,,mastery_handling,,EM_BACK_HANDLING_,swayreduc grip quickdraw stalker,1,,combathandling,,,,,1,,,,
266,0,10,global,kills_after_reload_fastreload,CHALLENGE_KILLS_AFTER_RELOAD_FASTRELOAD,250,,,,,,,,1,,combathandling,,,,,,,,,
267,1,25,global,kills_after_reload_fastreload,CHALLENGE_KILLS_AFTER_RELOAD_FASTRELOAD,500,,,,,,,,1,,combathandling,,,,,,,,,
268,2,75,global,kills_after_reload_fastreload,CHALLENGE_KILLS_AFTER_RELOAD_FASTRELOAD,750,,,,,,,,1,,combathandling,,,,,,,,,
269,3,100,global,kills_after_reload_fastreload,CHALLENGE_KILLS_AFTER_RELOAD_FASTRELOAD,1500,,,,,,,,1,,combathandling,,,,,,,,,
270,4,300,global,kills_after_reload_fastreload,CHALLENGE_KILLS_AFTER_RELOAD_FASTRELOAD,3000,,,,mastery_handling,,EM_BACK_HANDLING_fastreload,,1,,combathandling,,,,,,,,,
271,0,50,global,kills_ads_quickdraw_and_grip,CHALLENGE_HANDLING_KILLS_ADS_QUICK_DRAW_AND_GRIP,750,,,,mastery_handling,,EM_BACK_HANDLING_kills_ads_quickdraw_and_grip,extclip grip quickdraw stalker dw swayreduc,1,,combathandling,,,,,,,,,
