a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,
1024,0,1,global,melee_knuckles_for_diamond,CHALLENGE_EMPTY_STRING,0,656,,,melee_knuckles_for_diamond,,,melee_knuckles,,,,,,,,,,,,
1025,0,1,global,melee_butterfly_for_diamond,CHALLENGE_EMPTY_STRING,0,656,,,melee_butterfly_for_diamond,,,melee_butterfly,,,,,,,,,,,,
1026,0,1,global,melee_wrench_for_diamond,CHALLENGE_EMPTY_STRING,0,656,,,melee_wrench_for_diamond,,,melee_wrench,,,,,,,,,,,,
1027,0,1,global,melee_knuckles_gold,CHALLENGE_EMPTY_STRING,0,,,,melee_knuckles_for_diamond,,,melee_knuckles,,,,,,,,,,,,
1028,0,1,global,melee_butterfly_gold,CHALLENGE_EMPTY_STRING,0,,,,melee_butterfly_for_diamond,,,melee_butterfly,,,,,,,,,,,,
1029,0,1,global,melee_wrench_gold,CHALLENGE_EMPTY_STRING,0,,,,melee_wrench_for_diamond,,,melee_wrench,,,,,,,,,,,,
1030,0,1,global,melee_knuckles_for_diamond,CHALLENGE_EMPTY_STRING,0,1027,,,melee_knuckles_for_diamond,,,melee_knuckles,,,,,,,,,,,,
1031,0,1,global,melee_butterfly_for_diamond,CHALLENGE_EMPTY_STRING,0,1028,,,melee_butterfly_for_diamond,,,melee_butterfly,,,,,,,,,,,,
1032,0,1,global,melee_wrench_for_diamond,CHALLENGE_EMPTY_STRING,0,1029,,,melee_wrench_for_diamond,,,melee_wrench,,,,,,,,,,,,
1033,0,3,global,melee_knuckles_for_diamond,CHALLENGE_MASTERY_EXPERT_KNIFE,5000,,,camo_diamond,,,,melee_knuckles,,,,,,,,,,,,
1034,0,3,global,melee_butterfly_for_diamond,CHALLENGE_MASTERY_EXPERT_KNIFE,5000,,,camo_diamond,,,,melee_butterfly,,,,,,,,,,,,
1035,0,3,global,melee_wrench_for_diamond,CHALLENGE_MASTERY_EXPERT_KNIFE,5000,,,camo_diamond,,,,melee_wrench,,,,,,,,,,,,
1036,0,5,weapon_pistol,headshots,CHALLENGE_WEAPON_HEADSHOTS,250,,,camo_jungletek,,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1037,1,10,weapon_pistol,headshots,CHALLENGE_WEAPON_HEADSHOTS,500,,,camo_ash,,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1038,2,15,weapon_pistol,headshots,CHALLENGE_WEAPON_HEADSHOTS,750,,,camo_flectarn,,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1039,3,20,weapon_pistol,headshots,CHALLENGE_WEAPON_HEADSHOTS,1000,,,camo_heatstroke,,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1040,4,30,weapon_pistol,headshots,CHALLENGE_WEAPON_HEADSHOTS,1500,,,camo_snowjob,,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1041,5,40,weapon_pistol,headshots,CHALLENGE_WEAPON_HEADSHOTS,2000,,,camo_dante,,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1042,6,50,weapon_pistol,headshots,CHALLENGE_WEAPON_HEADSHOTS,2500,,,camo_integer,,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1043,7,75,weapon_pistol,headshots,CHALLENGE_WEAPON_HEADSHOTS,3500,,,camo_speed6,,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1044,8,100,weapon_pistol,headshots,CHALLENGE_WEAPON_HEADSHOTS,5000,,,camo_interpol,challenges_tu,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1045,0,10,weapon_pistol,longshot_kill,CHALLENGE_WEAPON_LONGSHOTS,2500,1044,,camo_ardent,challenges_tu,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1046,0,50,weapon_pistol,noAttKills,CHALLENGE_WEAPON_NOATTACHMENT,2500,1044,,camo_burnt,challenges_tu,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1047,0,50,weapon_pistol,noPerkKills,CHALLENGE_WEAPON_NOPERKS,2500,1044,,camo_bliss,challenges_tu,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1048,0,5,weapon_pistol,multikill_2,CHALLENGE_WEAPON_DOUBLEKILL,2500,1044,,camo_artofwar_battle,challenges_tu,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1049,0,5,weapon_pistol,killstreak_5,CHALLENGE_WEAPON_BLOODTHIRSTY,2500,1044,,camo_chameleon,challenges_tu,,,pistol_shotgun pistol_energy pistol_m1911,,,,,,,,,,,,
1050,0,6,weapon_pistol,challenges_tu,CHALLENGE_MASTERY_EXPERT,5000,,,camo_gold,challenges_tu,,em_back_expert_,pistol_shotgun pistol_energy pistol_m1911,,,,,,,1,,,,,
1051,0,7,weapon_pistol,challenges_tu,CHALLENGE_EMPTY_STRING,0,,,,pistol_shotgun_gold,,,pistol_shotgun,,,,,,,,1,,,,
1052,0,1,global,pistol_shotgun_gold,CHALLENGE_EMPTY_STRING,0,,,,pistol_shotgun_for_diamond,,,pistol_shotgun,,,,,,,,,,,,
1053,0,1,global,secondary_mastery_pistol,CHALLENGE_EMPTY_STRING,0,,,,pistol_shotgun_for_diamond,,,pistol_shotgun,,,,,,,,,,,,
1054,0,1,global,pistol_shotgun_for_diamond,CHALLENGE_EMPTY_STRING,0,649,,,pistol_shotgun_for_diamond,,,pistol_shotgun,,,,,,,,,,,,
1055,0,1,global,pistol_shotgun_for_diamond,CHALLENGE_EMPTY_STRING,0,1052,,,pistol_shotgun_for_diamond,,,pistol_shotgun,,,,,,,,,,,,
1056,0,3,global,pistol_shotgun_for_diamond,CHALLENGE_MASTERY_EXPERT_PISTOL,5000,,,camo_diamond,,,,pistol_shotgun,,,,,,,,,,,,
1063,0,7,weapon_knife,challenges_tu,CHALLENGE_EMPTY_STRING,0,,,,melee_crowbar_gold,,,melee_crowbar,,,,,,,,1,,,,
1064,0,1,global,melee_crowbar_gold,CHALLENGE_EMPTY_STRING,0,,,,melee_crowbar_for_diamond,,,melee_crowbar,,,,,,,,,,,,
1065,0,3,global,secondary_mastery,CHALLENGE_EMPTY_STRING,0,,,,melee_crowbar_for_diamond,,,melee_crowbar,,,,,,,,,,,,
1066,0,1,global,melee_crowbar_for_diamond,CHALLENGE_EMPTY_STRING,0,656,,,melee_crowbar_for_diamond,,,melee_crowbar,,,,,,,,,,,,
1067,0,1,global,melee_crowbar_for_diamond,CHALLENGE_EMPTY_STRING,0,1064,,,melee_crowbar_for_diamond,,,melee_crowbar,,,,,,,,,,,,
1068,0,3,global,melee_crowbar_for_diamond,CHALLENGE_MASTERY_EXPERT_KNIFE,5000,,,camo_diamond,,,,melee_crowbar,,,,,,,,,,,,
1075,0,7,weapon_knife,challenges_tu,CHALLENGE_EMPTY_STRING,0,,,,melee_sword_gold,,,melee_sword,,,,,,,,1,,,,
1076,0,1,global,melee_sword_gold,CHALLENGE_EMPTY_STRING,0,,,,melee_sword_for_diamond,,,melee_sword,,,,,,,,,,,,
1077,0,3,global,secondary_mastery,CHALLENGE_EMPTY_STRING,0,,,,melee_sword_for_diamond,,,melee_sword,,,,,,,,,,,,
1078,0,1,global,melee_sword_for_diamond,CHALLENGE_EMPTY_STRING,0,656,,,melee_sword_for_diamond,,,melee_sword,,,,,,,,,,,,
1079,0,1,global,melee_sword_for_diamond,CHALLENGE_EMPTY_STRING,0,1076,,,melee_sword_for_diamond,,,melee_sword,,,,,,,,,,,,
1080,0,3,global,melee_sword_for_diamond,CHALLENGE_MASTERY_EXPERT_KNIFE,5000,,,camo_diamond,,,,melee_sword,,,,,,,,,,,,
1081,0,5,weapon_assault,headshots,CHALLENGE_WEAPON_HEADSHOTS,250,,,camo_jungletek,,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1082,1,10,weapon_assault,headshots,CHALLENGE_WEAPON_HEADSHOTS,500,,,camo_ash,,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1083,2,15,weapon_assault,headshots,CHALLENGE_WEAPON_HEADSHOTS,750,,,camo_flectarn,,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1084,3,20,weapon_assault,headshots,CHALLENGE_WEAPON_HEADSHOTS,1000,,,camo_heatstroke,,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1085,4,30,weapon_assault,headshots,CHALLENGE_WEAPON_HEADSHOTS,1500,,,camo_snowjob,,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1086,5,40,weapon_assault,headshots,CHALLENGE_WEAPON_HEADSHOTS,2000,,,camo_dante,,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1087,6,50,weapon_assault,headshots,CHALLENGE_WEAPON_HEADSHOTS,2500,,,camo_integer,,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1088,7,75,weapon_assault,headshots,CHALLENGE_WEAPON_HEADSHOTS,3500,,,camo_speed6,,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1089,8,100,weapon_assault,headshots,CHALLENGE_WEAPON_HEADSHOTS,5000,,,camo_interpol,challenges_tu,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1090,0,10,weapon_assault,longshot_kill,CHALLENGE_WEAPON_LONGSHOTS,2500,1089,,camo_ardent,challenges_tu,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1091,0,50,weapon_assault,noAttKills,CHALLENGE_WEAPON_NOATTACHMENT,2500,1089,,camo_burnt,challenges_tu,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1092,0,50,weapon_assault,loadedKills,CHALLENGE_WEAPON_LOADEDKILLS,2500,1089,,camo_bliss,challenges_tu,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1093,0,5,weapon_assault,multikill_2,CHALLENGE_WEAPON_DOUBLEKILL,2500,1089,,camo_artofwar_battle,challenges_tu,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1094,0,5,weapon_assault,killstreak_5,CHALLENGE_WEAPON_BLOODTHIRSTY,2500,1089,,camo_chameleon,challenges_tu,,,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,,,,,,
1095,0,6,weapon_assault,challenges_tu,CHALLENGE_MASTERY_EXPERT,5000,,,camo_gold,challenges_tu,,em_back_expert_,ar_garand ar_famas ar_peacekeeper ar_pulse ar_m16 ar_galil ar_an94 ar_m14,,,,,,,1,,,,,
1096,0,7,weapon_assault,challenges_tu,CHALLENGE_EMPTY_STRING,0,,,,ar_garand_gold,,,ar_garand,,,,,,,,1,,,,
1097,0,1,global,ar_garand_gold,CHALLENGE_EMPTY_STRING,0,,,,ar_garand_for_diamond,,,ar_garand,,,,,,,,,,,,
1098,0,1,global,weapons_mastery_assault,CHALLENGE_EMPTY_STRING,0,,,,ar_garand_for_diamond,,,ar_garand,,,,,,,,,,,,
1099,0,1,global,ar_garand_for_diamond,CHALLENGE_EMPTY_STRING,0,648,,,ar_garand_for_diamond,,,ar_garand,,,,,,,,,,,,
1100,0,1,global,ar_garand_for_diamond,CHALLENGE_EMPTY_STRING,0,1097,,,ar_garand_for_diamond,,,ar_garand,,,,,,,,,,,,
1101,0,3,global,ar_garand_for_diamond,CHALLENGE_MASTERY_EXPERT_ASSAULT,5000,,,camo_diamond,,,,ar_garand,,,,,,,,,,,,
1123,0,10,weapon_special,kills,CHALLENGE_WEAPON_KILLS,250,,,camo_jungletek,,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1124,1,20,weapon_special,kills,CHALLENGE_WEAPON_KILLS,500,,,camo_ash,,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1125,2,40,weapon_special,kills,CHALLENGE_WEAPON_KILLS,750,,,camo_flectarn,,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1126,3,60,weapon_special,kills,CHALLENGE_WEAPON_KILLS,1000,,,camo_heatstroke,,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1127,4,80,weapon_special,kills,CHALLENGE_WEAPON_KILLS,1500,,,camo_snowjob,,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1128,5,100,weapon_special,kills,CHALLENGE_WEAPON_KILLS,2000,,,camo_dante,,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1129,6,120,weapon_special,kills,CHALLENGE_WEAPON_KILLS,2500,,,camo_integer,,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1130,7,160,weapon_special,kills,CHALLENGE_WEAPON_KILLS,3500,,,camo_speed6,,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1131,8,200,weapon_special,kills,CHALLENGE_WEAPON_KILLS,5000,,,camo_interpol,challenges_tu,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1132,0,10,weapon_special,longshot_kill,CHALLENGE_WEAPON_LONGSHOTS,2500,1131,,camo_ardent,challenges_tu,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1133,0,50,weapon_special,noAttKills,CHALLENGE_WEAPON_NOATTACHMENT,2500,1131,,camo_burnt,challenges_tu,,,special_crossbow,,,,,,,,,,,,
1134,0,50,weapon_special,noPerkKills,CHALLENGE_WEAPON_NOPERKS,2500,1131,,camo_bliss,challenges_tu,,,special_crossbow,,,,,,,,,,,,
1135,0,5,weapon_special,multikill_2,CHALLENGE_WEAPON_DOUBLEKILL,2500,1131,,camo_artofwar_battle,challenges_tu,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1136,0,5,weapon_special,killstreak_5,CHALLENGE_WEAPON_BLOODTHIRSTY,2500,1131,,camo_chameleon,challenges_tu,,,special_crossbow special_discgun knife_ballistic,,,,,,,,,,,,
1137,0,6,weapon_special,challenges_tu,CHALLENGE_MASTERY_EXPERT,5000,,,camo_gold,challenges_tu,,em_back_expert_,special_crossbow special_discgun knife_ballistic,,,,,,,1,,,,,
1138,0,7,weapon_special,challenges_tu,CHALLENGE_EMPTY_STRING,0,,,,special_crossbow_gold,,,special_crossbow,,,,,,,,1,,,,
1139,0,1,global,special_crossbow_gold,CHALLENGE_EMPTY_STRING,0,,,,special_crossbow_for_diamond,,,special_crossbow,,,,,,,,,,,,
