a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,
1500,0,1,global,blackjack_challenge,BLACKJACK_CHALLENGE_SIDE_BET,,,,,,0,EM_BACK_LOOT_blacklightposters_smokey,,,,sidebet,,,,,,,,,
1501,1,2,global,blackjack_challenge,BLACKJACK_CHALLENGE_SIDE_BET,,,,,,0,EM_BACK_LOOT_blacklightposters_sunrise,,,,sidebet,,,,,,,,,
1502,2,3,global,blackjack_challenge,BLACKJACK_CHALLENGE_SIDE_BET,,,,,,0,EM_BACK_LOOT_blacklightposters_outoftime,,,,sidebet,,,,,,,,,
1503,3,4,global,blackjack_challenge,BLACKJACK_CHALLENGE_SIDE_BET,,,,,,0,EM_BACK_LOOT_blacklightposters_battlecry,,,,sidebet,,,,,,,,,
1504,4,5,global,blackjack_challenge,BLACKJACK_CHALLENGE_SIDE_BET,,,,,,0,EM_BACK_LOOT_blacklightposters_prowler,,,,sidebet,,,,,,,,,
1505,5,6,global,blackjack_challenge,BLACKJACK_CHALLENGE_SIDE_BET,,,,,tscc_challenge_mastery,0,EM_BACK_LOOT_blacklightposters_rainbowtrip,,,,sidebet,,,,,1,,,,
1506,0,1,global,tscc_challenge_mastery,BLACKJACK_CHALLENGE_SIDE_BET,,,,,,0,EM_BACK_LOOT_blacklightposters_groovyrider,,,,sidebet,,,,1,,,,,
1507,0,1,global,CONTRACT_HUGE_SMG_KILLS,CHALLENGE_EMPTY_STRING,,,,,,0,EM_BACK_CONTRACTS_mp_action_battery,,,,mp_action,,,,,,,,,
1508,0,1,global,CONTRACT_HUGE_AR_KILLS,CHALLENGE_EMPTY_STRING,,,,,,0,EM_BACK_CONTRACTS_mp_action_firebreak_prophet,,,,mp_action,,,,,,,,,
1509,0,1,global,CONTRACT_HUGE_SHOTGUN_KILLS,CHALLENGE_EMPTY_STRING,,,,,,0,EM_BACK_CONTRACTS_mp_action_nomad,,,,mp_action,,,,,,,,,
1510,0,1,global,CONTRACT_HUGE_LMG_KILLS,CHALLENGE_EMPTY_STRING,,,,,,0,EM_BACK_CONTRACTS_mp_action_outrider,,,,mp_action,,,,,,,,,
1511,0,1,global,CONTRACT_HUGE_SNIPER_KILLS,CHALLENGE_EMPTY_STRING,,,,,,0,EM_BACK_CONTRACTS_mp_action_seraph,,,,mp_action,,,,,,,,,
1512,0,1,global,CONTRACT_HUGE_MELEE_WEAPON_KILLS,CHALLENGE_EMPTY_STRING,,,,,,0,EM_BACK_CONTRACTS_mp_action_ruin,,,,mp_action,,,,,,,,,
1513,0,2,global,tscc_challenge_mastery,CHALLENGE_EMPTY_STRING,,,,,,0,EM_BACK_CONTRACTS_mp_action_reaper_animated,,,,mp_action,,,,1,,,,,
1514,0,1,global,CONTRACT_HUGE_SPECIALIST_WEAPON_KILLS,CHALLENGE_EMPTY_STRING,,,,mtl_t7_camo_loot_contract_crystals,,0,,,,,specialcontract,,,,,,,,,
