a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,
768,0,10,bonuscard,kills,CHALLENGE_WILDCARDS_PRIMARY_GUNFIGHTER,500,,,,,,,bonuscard_primary_gunfighter,1,,wildcards,,,,,,,,,
769,1,25,bonuscard,kills,CHALLENGE_WILDCARDS_PRIMARY_GUNFIGHTER,1000,,,,,,,bonuscard_primary_gunfighter,1,,wildcards,,,,,,,,,
770,2,75,bonuscard,kills,CHALLENGE_WILDCARDS_PRIMARY_GUNFIGHTER,2500,,,,,,,bonuscard_primary_gunfighter,1,,wildcards,,,,,,,,,
771,3,150,bonuscard,kills,CHALLENGE_WILDCARDS_PRIMARY_GUNFIGHTER,5000,,,,,,,bonuscard_primary_gunfighter,1,,wildcards,,,,,,,,,
772,4,300,bonuscard,kills,CHALLENGE_WILDCARDS_PRIMARY_GUNFIGHTER,7500,,,,mastery_wildcards,,EM_BACK_WILDCARDS_,bonuscard_primary_gunfighter,1,,wildcards,,,,,1,,,,
773,0,10,bonuscard,kills,CHALLENGE_WILDCARDS_SECONDARY_GUNFIGHTER,500,,,,,,,bonuscard_secondary_gunfighter,1,,wildcards,,,,,,,,,
774,1,25,bonuscard,kills,CHALLENGE_WILDCARDS_SECONDARY_GUNFIGHTER,1000,,,,,,,bonuscard_secondary_gunfighter,1,,wildcards,,,,,,,,,
775,2,75,bonuscard,kills,CHALLENGE_WILDCARDS_SECONDARY_GUNFIGHTER,2500,,,,,,,bonuscard_secondary_gunfighter,1,,wildcards,,,,,,,,,
776,3,150,bonuscard,kills,CHALLENGE_WILDCARDS_SECONDARY_GUNFIGHTER,5000,,,,,,,bonuscard_secondary_gunfighter,1,,wildcards,,,,,,,,,
777,4,300,bonuscard,kills,CHALLENGE_WILDCARDS_SECONDARY_GUNFIGHTER,7500,,,,mastery_wildcards,,EM_BACK_WILDCARDS_,bonuscard_secondary_gunfighter,1,,wildcards,,,,,1,,,,
778,0,10,bonuscard,kills,CHALLENGE_WILDCARDS_OVERKILL,500,,,,,,,bonuscard_overkill,1,,wildcards,,,,,,,,,
779,1,25,bonuscard,kills,CHALLENGE_WILDCARDS_OVERKILL,1000,,,,,,,bonuscard_overkill,1,,wildcards,,,,,,,,,
780,2,75,bonuscard,kills,CHALLENGE_WILDCARDS_OVERKILL,2500,,,,,,,bonuscard_overkill,1,,wildcards,,,,,,,,,
781,3,150,bonuscard,kills,CHALLENGE_WILDCARDS_OVERKILL,5000,,,,,,,bonuscard_overkill,1,,wildcards,,,,,,,,,
782,4,300,bonuscard,kills,CHALLENGE_WILDCARDS_OVERKILL,7500,,,,mastery_wildcards,,EM_BACK_WILDCARDS_,bonuscard_overkill,1,,wildcards,,,,,1,,,,
783,0,10,bonuscard,kills,CHALLENGE_WILDCARDS_DANGER_CLOSE,500,,,,,,,bonuscard_danger_close,1,,wildcards,,,,,,,,,
784,1,25,bonuscard,kills,CHALLENGE_WILDCARDS_DANGER_CLOSE,1000,,,,,,,bonuscard_danger_close,1,,wildcards,,,,,,,,,
785,2,50,bonuscard,kills,CHALLENGE_WILDCARDS_DANGER_CLOSE,2500,,,,,,,bonuscard_danger_close,1,,wildcards,,,,,,,,,
786,3,75,bonuscard,kills,CHALLENGE_WILDCARDS_DANGER_CLOSE,5000,,,,,,,bonuscard_danger_close,1,,wildcards,,,,,,,,,
787,4,100,bonuscard,kills,CHALLENGE_WILDCARDS_DANGER_CLOSE,7500,,,,mastery_wildcards,,EM_BACK_WILDCARDS_,bonuscard_danger_close,1,,wildcards,,,,,1,,,,
788,0,10,bonuscard,kills,CHALLENGE_WILDCARDS_TACTICIAN,500,,,,,,,bonuscard_two_tacticals,1,,wildcards,,,,,,,,,
789,1,25,bonuscard,kills,CHALLENGE_WILDCARDS_TACTICIAN,1000,,,,,,,bonuscard_two_tacticals,1,,wildcards,,,,,,,,,
790,2,75,bonuscard,kills,CHALLENGE_WILDCARDS_TACTICIAN,2500,,,,,,,bonuscard_two_tacticals,1,,wildcards,,,,,,,,,
791,3,150,bonuscard,kills,CHALLENGE_WILDCARDS_TACTICIAN,5000,,,,,,,bonuscard_two_tacticals,1,,wildcards,,,,,,,,,
792,4,300,bonuscard,kills,CHALLENGE_WILDCARDS_TACTICIAN,7500,,,,mastery_wildcards,,EM_BACK_WILDCARDS_,bonuscard_two_tacticals,1,,wildcards,,,,,1,,,,
793,0,10,bonuscard,kills,CHALLENGE_WILDCARDS_PERK_1,500,,,,,,,bonuscard_perk_1_greed,1,,wildcards,,,,,,,,,
794,1,25,bonuscard,kills,CHALLENGE_WILDCARDS_PERK_1,1000,,,,,,,bonuscard_perk_1_greed,1,,wildcards,,,,,,,,,
795,2,75,bonuscard,kills,CHALLENGE_WILDCARDS_PERK_1,2500,,,,,,,bonuscard_perk_1_greed,1,,wildcards,,,,,,,,,
796,3,150,bonuscard,kills,CHALLENGE_WILDCARDS_PERK_1,5000,,,,,,,bonuscard_perk_1_greed,1,,wildcards,,,,,,,,,
797,4,300,bonuscard,kills,CHALLENGE_WILDCARDS_PERK_1,7500,,,,mastery_wildcards,,EM_BACK_WILDCARDS_,bonuscard_perk_1_greed,1,,wildcards,,,,,1,,,,
798,0,10,bonuscard,kills,CHALLENGE_WILDCARDS_PERK_2,500,,,,,,,bonuscard_perk_2_greed,1,,wildcards,,,,,,,,,
