t7_loot_taunt_battery_01,2122472782,taunt,legendary,,,1,
t7_loot_taunt_battery_03,2139480130,taunt,legendary,,,1,
t7_loot_taunt_battery_04,2144136081,taunt,legendary,,,1,
t7_loot_taunt_battery_05,2025636973,taunt,legendary,,,1,
t7_loot_taunt_battery_06,2062621603,taunt,legendary,,,1,
t7_loot_taunt_battery_07,2075184296,taunt,legendary,,,1,
t7_loot_taunt_battery_08,2112484188,taunt,legendary,,,1,
t7_loot_taunt_prophet_02,2064687672,taunt,legendary,,,1,
t7_loot_taunt_prophet_03,2066088499,taunt,legendary,,,1,
t7_loot_taunt_prophet_04,2088969273,taunt,legendary,,,1,
t7_loot_taunt_prophet_05,2056069688,taunt,legendary,,,1,
t7_loot_taunt_prophet_06,2033312102,taunt,legendary,,,1,
t7_loot_taunt_prophet_07,2096855118,taunt,legendary,,,1,
t7_loot_taunt_prophet_08,2035028261,taunt,legendary,,,1,
t7_loot_taunt_ruin_01,2110559809,taunt,legendary,,,1,
t7_loot_taunt_ruin_03,2101388727,taunt,legendary,,,1,
t7_loot_taunt_ruin_04,2007618599,taunt,legendary,,,1,
t7_loot_taunt_ruin_05,2021079005,taunt,legendary,,,1,
t7_loot_taunt_ruin_06,2049615918,taunt,legendary,,,1,
t7_loot_taunt_ruin_07,2133505498,taunt,legendary,,,1,
t7_loot_taunt_reaper_02,2029235845,taunt,legendary,,,1,
t7_loot_taunt_reaper_03,2010355892,taunt,legendary,,,1,
t7_loot_taunt_reaper_04,2135582032,taunt,legendary,,,1,
t7_loot_taunt_reaper_05,2090682524,taunt,legendary,,,1,
t7_loot_taunt_reaper_06,2124792372,taunt,legendary,,,1,
t7_loot_taunt_reaper_07,2011933267,taunt,legendary,,,1,
t7_loot_taunt_reaper_08,2112529305,taunt,legendary,,,1,
t7_loot_taunt_seraph_01,2055766485,taunt,legendary,,,1,
t7_loot_taunt_seraph_02,2108203596,taunt,legendary,,,1,
t7_loot_taunt_seraph_03,2003486978,taunt,legendary,,,1,
t7_loot_taunt_seraph_04,2114505531,taunt,legendary,,,1,
t7_loot_taunt_seraph_05,2146809177,taunt,legendary,,,1,
t7_loot_taunt_seraph_06,2023342077,taunt,legendary,,,1,
t7_loot_taunt_seraph_08,2121528975,taunt,legendary,,,1,
t7_loot_taunt_specter_02,2052381414,taunt,legendary,,,1,
t7_loot_taunt_specter_03,2019077112,taunt,legendary,,,1,
t7_loot_taunt_specter_04,2119117802,taunt,legendary,,,1,
t7_loot_taunt_specter_05,2096557150,taunt,legendary,,,1,
t7_loot_taunt_specter_06,2118428295,taunt,legendary,,,1,
